Date : 2024-02-12 15:20:32
Directory : /Users/sas/Desktop/web
Total : 110 files,  19816 codes, 324 comments, 846 blanks, all 20986 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/sas/Desktop/web/src/services/api/users.api.js                     | JavaScript         |         52 |          0 |          7 |         59 |
| /Users/sas/Desktop/web/src/services/bankCodes.js                         | JavaScript         |         86 |          0 |          1 |         87 |
| /Users/sas/Desktop/web/src/services/constants.js                         | JavaScript         |        164 |          0 |         10 |        174 |
| /Users/sas/Desktop/web/src/services/helpers.js                           | JavaScript         |        168 |          5 |         38 |        211 |
| /Users/sas/Desktop/web/src/services/requisitionDefault.js                | JavaScript         |         98 |          0 |          2 |        100 |
| /Users/sas/Desktop/web/src/styles/common.css                             | PostCSS            |          7 |          0 |          0 |          7 |
| /Users/sas/Desktop/web/src/theme/colors.js                               | JavaScript         |         65 |          0 |          8 |         73 |
| /Users/sas/Desktop/web/src/theme/create-components.js                    | JavaScript         |        305 |          1 |          4 |        310 |
| /Users/sas/Desktop/web/src/theme/create-palette.js                       | JavaScript         |         32 |          0 |          2 |         34 |
| /Users/sas/Desktop/web/src/theme/create-shadows.js                       | JavaScript         |         29 |          0 |          1 |         30 |
| /Users/sas/Desktop/web/src/theme/create-typography.js                    | JavaScript         |         76 |          0 |          1 |         77 |
| /Users/sas/Desktop/web/src/theme/index.js                                | JavaScript         |         29 |          0 |          3 |         32 |
| /Users/sas/Desktop/web/src/utils/apply-pagination.js                     | JavaScript         |          3 |          0 |          0 |          3 |
| /Users/sas/Desktop/web/src/utils/create-emotion-cache.js                 | JavaScript         |          4 |          0 |          2 |          6 |
| /Users/sas/Desktop/web/src/utils/create-resource-id.js                   | JavaScript         |          5 |          0 |          1 |          6 |
| /Users/sas/Desktop/web/src/utils/format-currency.js                      | JavaScript         |         18 |          0 |          2 |         20 |
| /Users/sas/Desktop/web/src/utils/format-date.js                          | JavaScript         |         17 |          0 |          5 |         22 |
| /Users/sas/Desktop/web/src/utils/format-strings.js                       | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/sas/Desktop/web/src/utils/get-firstname.js                        | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/sas/Desktop/web/src/utils/get-greeting.js                         | JavaScript         |         10 |          0 |          2 |         12 |
| /Users/sas/Desktop/web/src/utils/get-initials.js                         | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/sas/Desktop/web/src/utils/print-document.js                       | JavaScript         |        305 |          1 |         13 |        319 |
| Total                                                                    |                    |     19,816 |        324 |        846 |     20,986 |
+--------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
